"ObsWell","User","LevelDescription","DateAppliedUtc","EndTime","LastGrade","AgeApprovedDat_Months","AgeGradeDat_Months","AgeApprovedDat_Days","AgeGradeDat_Days","ReportDate"
"OW473","GRHENDER","Approved","2026-01-16T23:50:59.4953412Z",2025-11-17 18:08:00,2025-11-17,3.2,3.3,98.9,99.7,2026-02-25
"OW427","GRHENDER","Approved","2026-01-29T18:05:21.6008564Z",2026-01-19 20:28:00,2026-01-19,1.2,1.2,35.8,36.7,2026-02-25
"OW008","GRHENDER","Approved","2025-08-06T22:59:10.744134Z",2025-07-29 17:00:00,2026-02-12,6.9,0.4,210,12.7,2026-02-25
"OW058","GRHENDER","Approved","2026-01-29T17:55:32.7887155Z",2026-01-15 20:02:00,2026-01-15,1.3,1.3,39.8,40.7,2026-02-25
"OW453","GRHENDER","Approved","2026-01-30T00:18:00.4127723Z",2026-01-26 22:23:00,2026-01-26,0.9,1,28.7,29.7,2026-02-25
"OW288","GRHENDER","Approved","2025-12-05T17:23:08.7304562Z",2025-11-06 18:00:00,2025-11-06,3.6,3.6,109.9,110.7,2026-02-25
"OW200","Max.Goetz@gov.bc.ca","Approved","2025-03-05T17:05:55.2848455Z",2024-10-15 16:00:00,2024-10-15,16.3,16.4,497,497.7,2026-02-25
"OW294","GRHENDER","Approved","2026-01-30T20:16:55.0523968Z",2025-12-11 21:06:00,2025-12-11,2.5,2.5,74.8,75.7,2026-02-25
"OW332","GRHENDER","Approved","2026-01-30T20:58:37.1600609Z",2025-12-03 14:00:00,2025-12-03,2.7,2.7,83.1,83.7,2026-02-25
"OW364","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T22:46:08.3699299Z",2025-09-11 19:30:00,2025-09-11,5.5,5.5,165.9,166.7,2026-02-25
"OW417","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-21T17:32:31.673866Z",2025-06-10 23:00:00,2025-06-10,8.5,8.5,258.8,259.7,2026-02-25
"OW397","GRHENDER","Approved","2025-12-02T17:28:27.574272Z",2025-08-08 16:00:00,2026-02-06,6.6,0.6,200,18.7,2026-02-25
"OW433","GRHENDER","Approved","2026-01-26T23:17:54.6807919Z",2025-12-16 11:11:00,2025-12-16,2.3,2.3,70.2,70.7,2026-02-25
"OW385","GRHENDER","Approved","2026-01-27T00:25:29.5142646Z",2026-01-06 12:47:00,2026-01-06,1.6,1.6,49.1,49.7,2026-02-25
"OW425","GRHENDER","Approved","2026-01-30T22:10:51.5175239Z",2026-01-19 14:12:00,2026-01-19,1.2,1.2,36.1,36.7,2026-02-25
"OW507","GRHENDER","Approved","2026-01-29T19:49:03.7964431Z",2025-11-21 22:53:00,2025-11-21,3.1,3.1,94.7,95.7,2026-02-25
"OW292","GRHENDER","Approved","2026-01-28T21:20:58.421396Z",2026-01-05 22:32:00,2026-01-05,1.6,1.7,49.7,50.7,2026-02-25
"OW463","GRHENDER","Approved","2026-01-30T21:24:36.2993349Z",2025-08-21 19:35:00,2025-08-21,6.1,6.2,186.9,187.7,2026-02-25
"OW436","BRJACKSO","Approved","2026-02-02T18:00:32.9840361Z",2025-11-17 13:32:00,2025-11-17,3.3,3.3,99.1,99.7,2026-02-25
"OW469","GRHENDER","Approved","2025-12-05T22:21:56.3174781Z",2025-11-13 11:00:00,2025-11-13,3.4,3.4,103.2,103.7,2026-02-25
"OW439","GRHENDER","Approved","2025-12-05T00:39:34.6048085Z",2025-11-03 13:00:00,2025-11-03,3.7,3.7,113.1,113.7,2026-02-25
"OW518","GRHENDER","Approved","2026-01-30T21:18:19.7272356Z",2026-01-14 19:22:00,2026-01-14,1.3,1.4,40.9,41.7,2026-02-25
"MW400S","LALYONS","Approved","2025-11-05T22:45:25.308166Z",2025-09-23 12:00:00,2025-09-23,5.1,5.1,154.2,154.7,2026-02-25
"MW365S","LALYONS","Approved","2025-11-17T21:43:03.6347424Z",2025-09-08 10:00:00,2025-09-08,5.6,5.6,169.3,169.7,2026-02-25
"OW514","GRHENDER","Approved","2026-01-28T19:55:11.0201615Z",2025-11-18 20:34:00,2025-11-18,3.2,3.2,97.8,98.7,2026-02-25
"OW510","GRHENDER","Approved","2026-01-30T20:28:40.1920865Z",2025-12-10 22:16:00,2025-12-10,2.5,2.5,75.7,76.7,2026-02-25
"OW511","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-03T18:44:27.7260073Z",2025-05-13 17:00:00,2025-05-13,9.4,9.5,287,287.7,2026-02-25
"OW513","GRHENDER","Approved","2026-01-30T18:00:00.3543867Z",2026-01-23 20:08:00,2026-01-23,1,1.1,31.8,32.7,2026-02-25
"OW259","Lindsay.Eenkooren@gov.bc.ca","Approved","2024-06-26T15:59:07.350043Z",2024-06-25 13:00:00,2024-06-25,20,20,609.2,609.7,2026-02-25
"OW125","GRHENDER","Approved","2026-01-26T22:57:52.0399659Z",2025-12-04 22:26:00,2025-12-04,2.7,2.7,81.7,82.7,2026-02-25
"OW071","GRHENDER","Approved","2026-01-29T17:34:50.8981208Z",2026-01-15 14:27:00,2026-01-15,1.3,1.3,40.1,40.7,2026-02-25
"OW361","GRHENDER","Approved","2026-01-16T17:37:05.3702196Z",2025-11-10 18:10:00,2025-11-10,3.5,3.5,105.9,106.7,2026-02-25
"OW311","GRHENDER","Approved","2026-01-30T20:54:33.1453909Z",2025-12-11 14:03:00,2025-12-11,2.5,2.5,75.1,75.7,2026-02-25
"OW422","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-17T23:29:16.8069754Z",2025-11-03 12:00:00,2025-11-03,3.7,3.7,113.2,113.7,2026-02-25
"OW460","GRHENDER","Approved","2026-01-27T23:35:58.3558165Z",2026-01-05 16:39:00,2026-01-05,1.6,1.7,50,50.7,2026-02-25
"OW268","GRHENDER","Approved","2025-12-05T22:33:09.7942578Z",2025-11-14 18:00:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW282","GRHENDER","Approved","2026-01-30T19:25:56.1706034Z",2025-12-03 23:39:00,2025-12-03,2.7,2.7,82.7,83.7,2026-02-25
"OW445","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-21T18:40:46.0096449Z",2025-06-10 21:00:00,2025-06-10,8.5,8.5,258.8,259.7,2026-02-25
"OW416","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-11T18:51:05.4897284Z",2025-06-10 22:00:00,2025-06-10,8.5,8.5,258.8,259.7,2026-02-25
"OW464","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-18T00:23:07.2891072Z",2025-10-29 12:00:00,2025-10-29,3.9,3.9,118.2,118.7,2026-02-25
"OW343","BRJACKSO","Approved","2026-02-03T22:23:57.7176899Z",2026-01-29 14:08:00,2026-01-29,0.9,0.9,26.1,26.7,2026-02-25
"OW337","GRHENDER","Approved","2026-01-30T18:00:57.746605Z",2025-11-17 14:08:00,2025-11-17,3.3,3.3,99.1,99.7,2026-02-25
"OW356","GRHENDER","Approved","2026-01-30T20:18:30.90675Z",2025-12-11 23:26:00,2025-12-11,2.5,2.5,74.7,75.7,2026-02-25
"OW372","GRHENDER","Approved","2025-07-28T22:01:03.6550774Z",2025-07-10 10:00:00,2025-07-10,7.5,7.5,229.3,229.7,2026-02-25
"OW386","GRHENDER","Approved","2026-01-16T00:12:00.1255372Z",2025-10-30 21:00:00,2025-10-30,3.8,3.9,116.8,117.7,2026-02-25
"OW471","GRHENDER","Approved","2026-01-27T23:39:10.5514262Z",2026-01-06 17:25:00,2026-01-06,1.6,1.6,48.9,49.7,2026-02-25
"OW478","GRHENDER","Approved","2026-01-28T00:03:26.1248054Z",2025-12-31 20:34:00,2025-12-31,1.8,1.8,54.8,55.7,2026-02-25
"OW201","GRHENDER","Approved","2025-07-30T22:57:01.9522904Z",2025-06-18 16:27:00,2025-06-18,8.2,8.3,251,251.7,2026-02-25
"OW045","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T22:18:15.8881542Z",2025-10-30 10:00:00,2025-10-30,3.9,3.9,117.3,117.7,2026-02-25
"OW443","GRHENDER","Approved","2025-12-05T00:13:18.9212245Z",2025-11-03 12:20:00,2025-11-03,3.7,3.7,113.2,113.7,2026-02-25
"OW485","GRHENDER","Approved","2026-01-30T21:28:15.9010282Z",2025-08-20 16:18:00,2025-08-20,6.2,6.2,188,188.7,2026-02-25
"OW080","BRJACKSO","Approved","2025-12-12T16:57:05.4935066Z",2025-09-26 09:00:00,2025-09-26,5,5,151.3,151.7,2026-02-25
"OW399","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-19T23:28:40.4657914Z",2025-11-03 11:00:00,2025-11-03,3.7,3.7,113.2,113.7,2026-02-25
"OW401","GRHENDER","Approved","2026-01-30T21:03:41.8936966Z",2025-12-03 21:00:00,2025-12-03,2.7,2.7,82.8,83.7,2026-02-25
"OW410","GRHENDER","Approved","2026-01-30T20:06:27.063793Z",2026-01-13 20:00:00,2026-01-13,1.4,1.4,41.8,42.7,2026-02-25
"OW496","BRJACKSO","Approved","2025-01-30T02:10:43.3087359Z",2024-12-06 19:45:00,2024-12-06,14.6,14.6,444.8,445.7,2026-02-25
"OW295","GRHENDER","Approved","2026-01-30T22:16:05.3210536Z",2026-01-21 21:48:00,2026-01-21,1.1,1.1,33.8,34.7,2026-02-25
"OW185","GRHENDER","Approved","2026-01-28T21:32:38.9548828Z",2025-11-24 21:53:00,2025-11-24,3,3,91.8,92.7,2026-02-25
"OW232","GRHENDER","Approved","2025-12-05T17:19:34.935693Z",2025-11-04 17:38:00,2025-11-04,3.7,3.7,111.9,112.7,2026-02-25
"OW442","GRHENDER","Approved","2026-01-30T20:13:59.6075485Z",2026-01-13 19:20:00,2026-01-13,1.4,1.4,41.9,42.7,2026-02-25
"OW354","GRHENDER","Approved","2026-01-30T00:20:13.9951082Z",2026-01-26 21:55:00,2026-01-26,0.9,1,28.8,29.7,2026-02-25
"OW264","GRHENDER","Approved","2026-01-27T22:10:37.592423Z",2025-11-06 12:58:00,2025-11-06,3.6,3.6,110.1,110.7,2026-02-25
"OW272","GRHENDER","Approved","2026-01-16T22:52:52.8166506Z",2025-11-14 18:09:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW002","Caroline.Wisheart@gov.bc.ca","Approved","2025-08-06T20:56:15.1021111Z",2025-07-29 17:00:00,2026-02-12,6.9,0.4,210,12.7,2026-02-25
"OW118","GRHENDER","Approved","2026-01-30T20:31:04.440966Z",2025-12-10 20:04:00,2025-12-10,2.5,2.5,75.8,76.7,2026-02-25
"OW299","GRHENDER","Approved","2025-08-07T17:17:51.1835416Z",2025-07-15 19:00:00,2026-02-12,7.4,0.4,223.9,12.7,2026-02-25
"OW204","GRHENDER","Approved","2026-02-02T18:08:30.6208566Z",2026-01-16 10:13:00,2026-01-16,1.3,1.3,39.2,39.7,2026-02-25
"OW284","GRHENDER","Approved","2026-01-26T23:05:33.52953Z",2025-12-15 18:00:00,2025-12-15,2.3,2.4,70.9,71.7,2026-02-25
"OW035","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-19T23:32:36.648807Z",2025-11-03 10:00:00,2025-11-03,3.7,3.7,113.2,113.7,2026-02-25
"OW340","GRHENDER","Approved","2025-12-05T00:05:56.6543274Z",2025-10-30 08:46:00,2025-10-30,3.9,3.9,117.3,117.7,2026-02-25
"OW197","GRHENDER","Approved","2026-01-29T19:45:26.3918867Z",2026-01-06 10:23:00,2026-01-06,1.6,1.6,49.2,49.7,2026-02-25
"OW203","BRJACKSO","Approved","2026-01-27T23:09:25.2074048Z",2025-11-06 22:44:00,2026-02-05,3.6,0.6,109.7,19.7,2026-02-25
"OW211","BRJACKSO","Approved","2026-02-02T16:18:20.7592453Z",2026-01-16 10:56:00,2026-01-16,1.3,1.3,39.2,39.7,2026-02-25
"OW290","GRHENDER","Approved","2026-01-26T22:15:32.5340199Z",2025-12-03 19:08:00,2025-12-03,2.7,2.7,82.9,83.7,2026-02-25
"OW283","GRHENDER","Approved","2026-01-26T23:08:31.2301063Z",2025-12-15 17:40:00,2025-12-15,2.3,2.4,70.9,71.7,2026-02-25
"OW074","GRHENDER","Approved","2026-01-30T21:05:32.1931274Z",2025-11-26 14:34:00,2025-11-26,3,3,90.1,90.7,2026-02-25
"OW060","GRHENDER","Approved","2026-01-29T17:40:20.0409592Z",2026-01-15 20:30:00,2026-01-15,1.3,1.3,39.8,40.7,2026-02-25
"OW117","GRHENDER","Approved","2026-01-30T20:23:35.8758855Z",2025-12-10 23:06:00,2025-12-10,2.5,2.5,75.7,76.7,2026-02-25
"OW196","GRHENDER","Approved","2026-01-27T01:05:43.622254Z",2026-01-06 18:00:00,2026-01-06,1.6,1.6,48.9,49.7,2026-02-25
"OW255","GRHENDER","Approved","2026-01-30T00:42:42.9954868Z",2026-01-27 21:00:00,2026-01-27,0.9,0.9,27.8,28.7,2026-02-25
"OW287","GRHENDER","Approved","2025-12-05T00:03:35.5660273Z",2025-08-19 16:00:00,2026-01-12,6.2,1.4,189,43.7,2026-02-25
"OW319","GRHENDER","Approved","2026-01-26T22:11:18.5056137Z",2025-12-03 22:40:00,2025-12-03,2.7,2.7,82.7,83.7,2026-02-25
"OW047","GRHENDER","Approved","2026-01-27T20:53:24.4675889Z",2025-11-05 15:10:00,2025-11-05,3.6,3.7,111,111.7,2026-02-25
"OW075","GRHENDER","Approved","2026-02-03T16:39:10.2746242Z",2025-11-06 23:06:00,2026-02-05,3.6,0.6,109.7,19.7,2026-02-25
"OW081","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-17T22:24:36.1504692Z",2025-09-09 13:00:00,2025-09-09,5.5,5.5,168.2,168.7,2026-02-25
"OW115","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-28T23:26:33.2842375Z",2025-06-30 22:55:00,2025-06-30,7.8,7.9,238.8,239.7,2026-02-25
"OW124","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-11T18:36:05.8792907Z",2025-06-09 23:00:00,2025-06-09,8.5,8.6,259.8,260.7,2026-02-25
"OW362","GRHENDER","Approved","2026-01-28T18:52:11.0758825Z",2025-11-25 22:31:00,2025-11-25,3,3,90.7,91.7,2026-02-25
"OW398","GRHENDER","Approved","2025-12-04T17:30:55.7928725Z",2025-08-19 12:12:00,2026-02-06,6.2,0.6,189.2,18.7,2026-02-25
"OW122","GRHENDER","Approved","2026-01-30T20:32:44.2014707Z",2025-12-10 20:30:00,2025-12-10,2.5,2.5,75.8,76.7,2026-02-25
"OW180","GRHENDER","Approved","2026-01-30T21:01:25.5142255Z",2025-12-10 23:21:00,2025-12-10,2.5,2.5,75.7,76.7,2026-02-25
"OW154","GRHENDER","Approved","2026-01-27T21:39:01.2108108Z",2025-11-13 14:05:00,2025-11-13,3.4,3.4,103.1,103.7,2026-02-25
"OW172","GRHENDER","Approved","2026-01-30T20:15:57.8155793Z",2025-12-11 22:54:00,2025-12-11,2.5,2.5,74.7,75.7,2026-02-25
"OW217","GRHENDER","Approved","2026-01-28T18:34:57.0160767Z",2025-11-27 18:31:00,2025-11-27,2.9,2.9,88.9,89.7,2026-02-25
"OW258","GRHENDER","Approved","2026-01-26T22:51:28.0711937Z",2025-12-04 16:44:00,2025-12-04,2.7,2.7,82,82.7,2026-02-25
"OW293","GRHENDER","Approved","2026-01-27T22:43:03.3735188Z",2025-11-18 09:40:00,2025-11-18,3.2,3.2,98.3,98.7,2026-02-25
"OW236","GRHENDER","Approved","2026-01-30T19:51:48.836816Z",2026-01-13 20:36:00,2026-01-13,1.4,1.4,41.8,42.7,2026-02-25
"OW260","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-20T00:26:09.720042Z",2025-09-11 12:00:00,2025-09-11,5.5,5.5,166.2,166.7,2026-02-25
"OW262","GRHENDER","Approved","2026-01-30T19:53:17.4445527Z",2026-01-13 22:46:00,2026-01-13,1.4,1.4,41.7,42.7,2026-02-25
"OW301","GRHENDER","Approved","2025-08-06T23:38:09.9637413Z",2025-07-10,2026-02-12,7.5,0.4,229.7,12.7,2026-02-25
"OW304","GRHENDER","Approved","2025-12-05T00:01:51.3902951Z",2025-08-19 11:49:00,2026-02-06,6.2,0.6,189.2,18.7,2026-02-25
"OW291","GRHENDER","Approved","2026-01-28T18:44:31.2612345Z",2025-11-25 23:40:00,2025-11-25,3,3,90.7,91.7,2026-02-25
"OW321","GRHENDER","Approved","2026-01-26T23:52:49.8037645Z",2025-12-16 14:04:00,2025-12-16,2.3,2.3,70.1,70.7,2026-02-25
"OW082","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-19T23:19:52.3881558Z",2025-09-11 08:00:00,2025-09-11,5.5,5.5,166.4,166.7,2026-02-25
"OW096","TLEGAULT","Approved","2020-10-20T19:21:40.382Z",2020-10-01 11:00:00,2020-04-07,64.8,70.6,1972.2,2149.7,2026-02-25
"OW344","Max.Goetz@gov.bc.ca","Approved","2024-11-15T18:30:31.2162653Z",2024-09-20 11:00:00,2024-09-20,17.2,17.2,522.2,522.7,2026-02-25
"OW345","GRHENDER","Approved","2025-12-05T17:00:29.3052716Z",2025-11-03 10:00:00,2025-11-03,3.7,3.7,113.2,113.7,2026-02-25
"OW357","GRHENDER","Approved","2026-01-15T23:37:56.3533528Z",2025-08-28 11:39:00,2025-08-28,5.9,5.9,180.2,180.7,2026-02-25
"OW359","Lindsay.Eenkooren@gov.bc.ca","Approved","2024-12-03T21:17:23.9695666Z",2024-11-27 12:00:00,2024-11-27,14.9,14.9,454.2,454.7,2026-02-25
"OW360","GRHENDER","Approved","2026-01-16T23:00:59.997095Z",2025-11-14 19:25:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW371","GRHENDER","Approved","2026-01-29T19:35:46.8189773Z",2026-01-19 18:43:00,2026-01-19,1.2,1.2,35.9,36.7,2026-02-25
"OW373","GRHENDER","Approved","2026-01-30T22:19:39.6106006Z",2026-01-22 22:19:00,2026-01-22,1.1,1.1,32.7,33.7,2026-02-25
"OW384","GRHENDER","Approved","2026-01-30T20:34:42.1963251Z",2025-12-10 21:11:00,2025-12-10,2.5,2.5,75.8,76.7,2026-02-25
"OW394","GRHENDER","Approved","2025-12-04T17:03:57.1728333Z",2025-08-08 08:46:00,2026-02-06,6.6,0.6,200.3,18.7,2026-02-25
"OW408","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-02T21:52:11.8776992Z",2025-05-13,2025-05-13,9.5,9.5,287.7,287.7,2026-02-25
"OW377","GRHENDER","Approved","2026-01-16T00:17:19.0452321Z",2025-11-04 14:25:00,2025-11-04,3.7,3.7,112.1,112.7,2026-02-25
"OW296","GRHENDER","Approved","2026-01-27T22:16:06.3821621Z",2025-11-24 18:58:00,2026-02-03,3,0.7,91.9,21.7,2026-02-25
"OW275","BRJACKSO","Approved","2026-01-30T01:15:38.4645929Z",2026-01-26 20:00:00,2026-01-26,0.9,1,28.8,29.7,2026-02-25
"OW303","GRHENDER","Approved","2026-01-26T23:54:52.2937179Z",2025-12-16 13:22:00,2025-12-16,2.3,2.3,70.1,70.7,2026-02-25
"OW286","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-17T23:41:54.348482Z",2025-06-10 18:00:00,2025-06-10,8.5,8.5,259,259.7,2026-02-25
"OW281","BRJACKSO","Approved","2026-02-03T22:21:11.5925813Z",2026-01-22 18:47:00,2026-01-22,1.1,1.1,32.9,33.7,2026-02-25
"OW306","GRHENDER","Approved","2026-01-28T18:45:51.4437309Z",2025-11-27 20:54:00,2025-11-27,2.9,2.9,88.8,89.7,2026-02-25
"OW309","GRHENDER","Approved","2026-01-28T18:47:43.8032442Z",2025-11-25 19:06:00,2025-11-25,3,3,90.9,91.7,2026-02-25
"OW320","GRHENDER","Approved","2026-01-30T22:24:44.4903658Z",2025-11-27 17:47:00,2025-11-27,2.9,2.9,88.9,89.7,2026-02-25
"OW289","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T19:40:50.9090696Z",2025-11-10 11:00:00,2025-11-10,3.5,3.5,106.2,106.7,2026-02-25
"OW088","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T20:33:17.1369288Z",2025-11-10 12:57:00,2025-11-10,3.5,3.5,106.1,106.7,2026-02-25
"OW338","BRJACKSO","Approved","2026-02-03T22:38:53.4852719Z",2026-01-29 13:30:00,2026-01-29,0.9,0.9,26.1,26.7,2026-02-25
"OW355","GRHENDER","Approved","2026-01-26T21:45:22.7936705Z",2025-11-27 20:34:00,2025-11-27,2.9,2.9,88.8,89.7,2026-02-25
"OW405","GRHENDER","Approved","2026-01-30T19:23:14.0498096Z",2025-12-03 22:12:00,2025-12-03,2.7,2.7,82.7,83.7,2026-02-25
"OW261","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T21:37:47.7276614Z",2025-11-10 11:58:00,2025-11-10,3.5,3.5,106.2,106.7,2026-02-25
"OW265","GRHENDER","Approved","2026-01-29T17:06:50.5058919Z",2026-01-15 21:11:00,2026-01-15,1.3,1.3,39.8,40.7,2026-02-25
"OW407","GRHENDER","Approved","2026-01-30T19:24:20.5099958Z",2025-12-03 22:37:00,2025-12-03,2.7,2.7,82.7,83.7,2026-02-25
"OW409","GRHENDER","Approved","2026-01-30T20:37:47.9924018Z",2025-12-10 20:58:00,2025-12-10,2.5,2.5,75.8,76.7,2026-02-25
"OW374","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-19T23:21:12.7078397Z",2025-09-09 12:00:00,2025-09-09,5.5,5.5,168.2,168.7,2026-02-25
"OW363","GRHENDER","Approved","2026-01-28T18:54:40.0305451Z",2025-11-25 21:35:00,2025-11-25,3,3,90.8,91.7,2026-02-25
"OW400","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-17T23:00:20.6667889Z",2025-09-23 12:00:00,2025-09-23,5.1,5.1,154.2,154.7,2026-02-25
"OW413","GRHENDER","Approved","2026-01-30T20:09:16.3541287Z",2026-01-13 22:16:00,2026-01-13,1.4,1.4,41.7,42.7,2026-02-25
"OW375","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-15T01:10:00.4576277Z",2025-09-04 10:00:00,2025-09-04,5.7,5.7,173.3,173.7,2026-02-25
"OW383","GRHENDER","Approved","2025-12-05T23:21:38.1965715Z",2025-11-21 18:00:00,2025-11-21,3.1,3.1,94.9,95.7,2026-02-25
"OW403","GRHENDER","Approved","2026-01-30T19:17:37.7872359Z",2025-12-09 22:26:00,2025-12-09,2.5,2.6,76.7,77.7,2026-02-25
"OW406","GRHENDER","Approved","2026-01-29T23:34:19.996784Z",2026-01-27 19:14:00,2026-01-27,0.9,0.9,27.9,28.7,2026-02-25
"OW376","GRHENDER","Approved","2026-01-29T00:14:59.4017504Z",2025-09-12 08:00:00,2025-09-12,5.4,5.4,165.4,165.7,2026-02-25
"OW411","GRHENDER","Approved","2026-01-30T21:12:18.3928981Z",2026-01-16 00:28:00,2026-01-16,1.3,1.3,39.6,39.7,2026-02-25
"OW365","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T22:08:49.99587Z",2025-09-08 11:00:00,2025-09-08,5.6,5.6,169.2,169.7,2026-02-25
"OW404","GRHENDER","Approved","2026-01-30T19:11:49.6839115Z",2025-12-04 00:16:00,2025-12-04,2.7,2.7,82.7,82.7,2026-02-25
"OW414","GRHENDER","Approved","2026-01-30T00:24:22.5755172Z",2026-01-26 21:18:00,2026-01-26,0.9,1,28.8,29.7,2026-02-25
"OW415","GRHENDER","Approved","2026-01-30T00:25:47.6286574Z",2026-01-26 21:27:00,2026-01-26,0.9,1,28.8,29.7,2026-02-25
"OW389","GRHENDER","Approved","2026-01-26T23:49:17.8522948Z",2025-12-16 18:06:00,2025-12-16,2.3,2.3,69.9,70.7,2026-02-25
"OW390","GRHENDER","Approved","2025-12-05T22:41:12.9762757Z",2025-11-18 14:00:00,2025-11-18,3.2,3.2,98.1,98.7,2026-02-25
"OW310","GRHENDER","Approved","2026-01-29T19:41:44.8578995Z",2026-01-19 19:27:00,2026-01-19,1.2,1.2,35.9,36.7,2026-02-25
"OW391","GRHENDER","Approved","2026-01-29T19:32:18.7978518Z",2026-01-19 23:43:00,2026-01-19,1.2,1.2,35.7,36.7,2026-02-25
"OW392","GRHENDER","Approved","2025-12-04T23:42:42.123051Z",2025-08-19 20:00:00,2025-08-19,6.2,6.2,188.9,189.7,2026-02-25
"OW395","GRHENDER","Approved","2025-12-02T18:33:39.0457177Z",2025-08-08 10:51:00,2026-02-06,6.6,0.6,200.3,18.7,2026-02-25
"OW449","BRJACKSO","Approved","2026-02-03T22:48:12.413336Z",2025-08-20 19:00:00,2025-08-20,6.2,6.2,187.9,188.7,2026-02-25
"OW393","GRHENDER","Approved","2025-12-04T19:02:58.7470524Z",2025-08-19 20:00:00,2025-08-19,6.2,6.2,188.9,189.7,2026-02-25
"OW233","GRHENDER","Approved","2026-01-26T21:32:33.7165178Z",2025-11-27 11:20:00,2025-11-27,2.9,2.9,89.2,89.7,2026-02-25
"OW240","BRJACKSO","Approved","2026-01-27T23:49:58.1546591Z",2026-01-15 21:38:00,2026-01-15,1.3,1.3,39.8,40.7,2026-02-25
"OW412","GRHENDER","Approved","2026-01-16T21:37:44.3103328Z",2025-11-12 18:55:00,2025-11-12,3.4,3.4,103.9,104.7,2026-02-25
"OW312","GRHENDER","Approved","2026-01-29T00:44:28.3964441Z",2026-01-09 09:11:00,2026-01-09,1.5,1.5,46.3,46.7,2026-02-25
"OW327","GRHENDER","Approved","2026-01-26T22:24:54.0978605Z",2025-12-04 09:50:00,2025-12-04,2.7,2.7,82.3,82.7,2026-02-25
